"","date","prod.group","avg.per.week.price","base.week.price","change.to.base.week","prod.cat","food.norms","month.basket.cost.bw","month.basket.cost.cw"
"1",2023-09-07,"бобові",62.55,62.55,0,"бакалія",1.9,9.90375,9.90375
"2",2023-09-07,"борошно пшеничне",17.257,17.257,0,"бакалія",9.4,13.5179833333333,13.5179833333333
"3",2023-09-07,"буряки",9.29,9.29,0,"овочі та фрукти",9,6.9675,6.9675
"4",2023-09-07,"вівсяна крупа",65.6,65.6,0,"бакалія",1.1,6.01333333333333,6.01333333333333
"5",2023-09-07,"гречана крупа",53.189,53.189,0,"бакалія",2,8.86483333333333,8.86483333333333
"6",2023-09-07,"кава мелена",530.118,530.118,0,"бакалія",0.5,22.08825,22.08825
"7",2023-09-07,"капуста",28.95,28.95,0,"овочі та фрукти",28,67.55,67.55
"8",2023-09-07,"картопля",8.27,8.27,0,"овочі та фрукти",95,65.4708333333333,65.4708333333333
"9",2023-09-07,"квашені овочі",106.548,106.548,0,"овочі та фрукти",3,26.637,26.637
"10",2023-09-07,"кефір",43.907,43.907,0,"молоко, молочні продукти",55,201.240416666667,201.240416666667
"11",2023-09-07,"ковбасні вироби",382.285,382.285,0,"м'ясо та м'ясопродукти, птиця",9,286.71375,286.71375
"12",2023-09-07,"кондитерські вироби",192.229,192.229,0,"кондитерські вироби",13,208.248083333333,208.248083333333
"13",2023-09-07,"макаронні вироби",37.888,37.888,0,"бакалія",4,12.6293333333333,12.6293333333333
"14",2023-09-07,"маргарин",99.6,99.6,0,"бакалія",2,16.6,16.6
"15",2023-09-07,"масло вершкове",372.548,372.548,0,"молоко, молочні продукти",5,155.228333333333,155.228333333333
"16",2023-09-07,"молоко",42.863,42.863,0,"молоко, молочні продукти",60,214.315,214.315
"17",2023-09-07,"морква",12.85,12.85,0,"овочі та фрукти",9,9.6375,9.6375
"18",2023-09-07,"огірки",17.89,17.89,0,"овочі та фрукти",12.5,18.6354166666667,18.6354166666667
"19",2023-09-07,"олія соняшникова",68.903,68.903,0,"бакалія",7.1,40.7676083333333,40.7676083333333
"20",2023-09-07,"оселедеці",151.176,151.176,0,"риба",4,50.392,50.392
"21",2023-09-07,"помідори",27.577,27.577,0,"овочі та фрукти",12.5,28.7260416666667,28.7260416666667
"22",2023-09-07,"птиця",131.9,131.9,0,"м'ясо та м'ясопродукти, птиця",14,153.883333333333,153.883333333333
"23",2023-09-07,"пшоняна крупа",26.9,26.9,0,"бакалія",1,2.24166666666667,2.24166666666667
"24",2023-09-07,"риба заморожена",139.367,139.367,0,"риба",2,23.2278333333333,23.2278333333333
"25",2023-09-07,"риба свіжа, рибні продукти",372.69,372.69,0,"риба",7,217.4025,217.4025
"26",2023-09-07,"рисова крупа",70.027,70.027,0,"бакалія",2.5,14.5889583333333,14.5889583333333
"27",2023-09-07,"ряжанка",57.875,57.875,0,"молоко, молочні продукти",5,24.1145833333333,24.1145833333333
"28",2023-09-07,"сало",244.99,244.99,0,"м'ясо та м'ясопродукти, птиця",2,40.8316666666667,40.8316666666667
"29",2023-09-07,"свинина",244.618,244.618,0,"м'ясо та м'ясопродукти, птиця",8,163.078666666667,163.078666666667
